Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
solved,208615,64258,208533,32672,0,31586,49157,82,82,259,game429
solved,7040,1272,6950,347,0,925,1543,90,90,11,game43
solved,12637895,2084260,12637790,15567,0,2068693,3145739,105,105,16121,game430
solved,127,83,44,37,0,46,53,83,83,0,game431
solved,9441,2377,9364,155,0,2222,3079,77,77,14,game432
solved,46574,10552,46478,41,0,10511,12289,96,96,73,game433
solved,299,173,209,31,0,142,193,90,90,0,game434
unsolvable,3692267,1088011,3692266,385765,0,702246,786433,55,0,5425,game435
solved,146,85,62,38,0,47,53,84,84,0,game436
solved,271995,69594,271900,12846,0,56748,98317,95,95,429,game437
solved,127,91,45,36,0,55,97,82,82,0,game438
solved,621,256,545,145,0,111,193,76,76,0,game439
solved,182,118,83,31,0,87,97,99,99,0,game44
solved,953753,340120,953672,179702,0,160418,196613,81,81,1257,game440
solved,11760,3687,11664,226,0,3461,6151,96,96,20,game441
solved,138,83,61,29,0,54,97,77,77,0,game442
unsolvable,20885557,6188759,20885556,2422379,0,3766380,6291469,62,0,29320,game443
solved,892321,331599,892225,137477,0,194122,196613,96,96,1258,game444
solved,452,179,330,26,0,153,193,122,122,0,game445
solved,454,167,330,30,0,137,193,124,124,1,game446
solved,33145,10009,33028,3019,0,6990,12289,117,117,52,game447
unsolvable,6238,3015,6237,5,0,3010,3079,21,0,13,game448
solved,393,138,313,59,0,79,97,80,80,0,game449
solved,271,156,176,43,0,113,193,95,95,0,game45
solved,141,83,58,28,0,55,97,83,83,0,game450
solved,98,72,27,32,0,40,53,71,71,0,game451
timed-out,44727930,15514206,44727909,8171978,0,7342228,12582917,77,21,60000,game452
solved,1099,196,1018,36,0,160,193,81,81,1,game453
solved,154,82,72,30,0,52,53,82,82,0,game454
solved,4212,1873,4124,415,0,1458,1543,88,88,5,game455
solved,5215,1500,5130,244,0,1256,1543,85,85,7,game456
solved,153,89,64,40,0,49,53,89,89,0,game457
solved,165,84,83,23,0,61,97,82,82,0,game458
solved,770,289,687,117,0,172,193,83,83,1,game459
