Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
unsolvable,51,36,50,3,0,33,53,12,0,0,game433
solved,13821,6712,13731,1700,0,5012,6151,90,90,20,game434
solved,150913,29066,150816,79,0,28987,49157,97,97,198,game435
solved,868,396,764,29,0,367,389,104,104,1,game436
solved,365,232,273,32,0,200,389,92,92,1,game437
unsolvable,1973,927,1972,1,0,926,1543,10,0,3,game438
unsolvable,60369,24217,60368,7479,0,16738,24593,21,0,79,game439
solved,1060,646,970,49,0,597,769,90,90,2,game44
unsolvable,35834,20142,35833,4056,0,16086,24593,28,0,59,game440
unsolvable,3,3,2,1,0,2,53,2,0,0,game441
unsolvable,1796,973,1795,166,0,807,1543,17,0,2,game442
solved,989415,208260,989326,57986,0,150274,196613,89,89,942,game443
solved,79404,33752,79300,1143,0,32609,49157,104,104,113,game444
unsolvable,444,262,443,12,0,250,389,12,0,0,game445
timed-out,43637494,15169531,43637466,5522066,0,9647465,12582917,70,28,60000,game446
unsolvable,5691,2644,5690,461,0,2183,3079,13,0,10,game447
solved,190,116,87,31,0,85,97,103,103,0,game448
solved,538,323,453,40,0,283,389,85,85,1,game449
unsolvable,60,40,59,1,0,39,53,6,0,0,game45
unsolvable,28388,14100,28387,1367,0,12733,24593,25,0,47,game450
solved,221,160,136,24,0,136,193,85,85,0,game451
solved,10725,3736,10646,508,0,3228,6151,79,79,14,game452
solved,14856,5302,14769,95,0,5207,6151,87,87,21,game453
unsolvable,35181,16760,35180,6483,0,10277,12289,20,0,43,game454
unsolvable,4626050,1380494,4626049,219196,0,1161298,1572869,32,0,6132,game455
solved,1642,564,1560,53,0,511,769,82,82,2,game456
unsolvable,23,19,22,0,0,19,53,4,0,0,game457
solved,5347662,2062843,5347568,1009284,0,1053559,1572869,94,94,6181,game458
solved,1357,701,1265,50,0,651,769,92,92,2,game459
solved,56321,14448,56196,73,0,14375,24593,125,125,73,game46
unsolvable,23900093,6906467,23900092,274653,0,6631814,12582917,41,0,42218,game460
solved,1291703,451792,1291610,263512,0,188280,196613,93,93,1367,game461
unsolvable,20339,9835,20338,768,0,9067,12289,22,0,37,game462
solved,19263879,5613547,19263786,796934,0,4816613,6291469,93,93,29985,game463
unsolvable,3,3,2,0,0,3,53,1,0,0,game464
unsolvable,4,4,3,2,0,2,53,3,0,0,game465
solved,527,226,419,34,0,192,193,108,108,0,game466
solved,428,224,337,49,0,175,193,91,91,0,game467
solved,13588,2990,13499,29,0,2961,3079,89,89,16,game468
solved,179,138,83,31,0,107,193,96,96,0,game469
unsolvable,18691895,6151970,18691894,1501246,0,4650724,6291469,65,0,27997,game47
unsolvable,1011839,338559,1011838,67840,0,270719,393241,36,0,1435,game470
unsolvable,7878,3512,7877,1202,0,2310,3079,18,0,9,game471
solved,877,409,736,82,0,327,389,141,141,1,game472
unsolvable,2,2,1,0,0,2,53,1,0,0,game473
solved,1296,436,1179,78,0,358,389,117,117,1,game474
unsolvable,656,362,655,7,0,355,389,14,0,1,game475
solved,174,140,87,62,0,78,97,87,87,0,game476
solved,111,96,17,39,0,57,97,94,94,0,game477
solved,65998,19775,65913,2405,0,17370,24593,85,85,82,game478
unsolvable,9,7,8,3,0,4,53,5,0,0,game479
solved,191,93,99,29,0,64,97,92,92,0,game48
unsolvable,1868,1118,1867,117,0,1001,1543,30,0,2,game480
unsolvable,249974,90714,249973,2280,0,88434,98317,32,0,343,game481
